company,link,country,sector,industry,pages,auditor,type,text,tot_credits,removal,reduction,standard,eu,ca,ccs,notes
Signify,https://www.signify.com/static/2024/signify-annual-report-2024.pdf,Netherlands,Resource Transformation,Electrical & Electronic Equipment,84,EY,3,,0,,,,,,,
Siili Solutions,https://www.siili.com/hubfs/Siili%20Solutions%20Plc%20Annual%20Report%202024.pdf,Finland,Technology & Communications,Software & IT Services,23,KPMG,3,,0,,,,,,,
Silgro Food Group,https://www.sligrofoodgroup.nl/sites/default/files/pdf-jaarverslagen/2024/Sligro%20Food%20Group%20Annual%20report%202024.pdf,Netherlands,Food & Beverage,Restaurants,82,EY,3,,0,,,,,,,
Sitowise,https://www.sitowise.com/sites/default/files/2025-03/Sitowise-Annual%20Review-2024-en.pdf,Finland,Infrastructure,Engineering & Construction Services,66,KPMG,3,,0,,,,,,,
Sixt,https://about.sixt.com/wp-content/uploads/2025/04/Financial-Report-2024.pdf,Germany,Transportation,Car Rental & Leasing,45,Forvis Mazars,3,,0,,,,,,,
Skandinaviska Enskilda Bank (SEB),https://webapp.sebgroup.com/mb/mblib.nsf/alldocsbyunid/0C76B7571DFB23F5C1258C4900320544/$FILE/SEB_Annual_Report_2024_ENG.pdf,Sweden,Financials,Commercial Banks,117,EY,2,"SEB works actively to reduce our own environmental footprint as
part of our overall climate mitigation strategy, through measuring
and tracking progress on our carbon emissions from energy
consumption, use of paper, company cars, business travel and
waste. Since 2021, SEB has aimed to offset those GHG emissions
that remain after our efforts to reduce emissions through direct
actions. This is being complemented by our commitment to
review our targets and implement mitigation actions for our own
emissions. For 2024, SEB’s strategy for offsetting residual emissions from our own operations, Scope 1, 2 and 3 category 1–14,
involved the use of carbon credits from outside of our value chain,
through purchasing CO2 Removal Certificates (CORCs) from Puro.
earth, a carbon removal marketplace. These certificates are from
biochar projects that store carbon for a minimum of 100 years. The
purchased certificates have been formally cancelled during 2024,
ensuring that the associated CO2 removal is accurately accounted
for and not subject to double-counting or resale to another entity.
Biochar achieves CO2 removal through the heating of organic
biomass with limited or no oxygen, such as in pyrolysis or
gasification processes. The biomass undergoes carbonization,
forming biochar—a material with carbon bonds stronger than
those in the parent biomass, making it resistant to degradation
when stored in the environment.
The Puro.earth Biochar Methodology certifies biochar as a
carbon removal tool by setting strict production and storage
requirements. It quantifies sequestered carbon through lifecycle analysis, including emissions from biomass production and
transportation. Certified biochar must demonstrate long-term
storage stability and meet sustainability criteria. Figure 43
outlines SEB’s 2024 GHG credits.
Puro.earth is endorsed by the International Carbon Reduction
and Offset Alliance (ICROA) Code of Best Practice. ICROA
approval is obtained annually through an independent thirdparty compliance audit based on the ICROA Code of Best
Practice. The Code sets out requirements and guidelines
for high integrity and is continuously updated to encompass
best practices.
In addition to GHG credits, SEB has undertaken mitigation
actions to reduce emissions from business air travel through
the purchase of Sustainable Aviation Fuel (SAF) from SAS. SAS
has strict conditions regarding SAF. This means that it must
be produced from raw materials that require as little land as
possible and do not affect the general availability of crops used
in food production. SAS does not accept waste from palm oil
production as a raw material. Furthermore, SEB engaged in the
EU Emissions Trading System (EU ETS) by acquiring emission
allowances to offset the remaining residual emissions. In future,
SEB intends to explore additional carbon credits alongside our
direct actions to address our residual emissions.","10,754",100,0,Puro.earth,0,0,,
Smcp,https://www.smcp.com/app/uploads/2025/04/smcp-2024-urd-en-mel.pdf,France,Consumer Goods,"Apparel, Accessories & Footwear",113,Deloitte,3,,0,,,,,,,
SN Nuclearelectrica,https://nuclearelectrica.ro/ir/wp-content/uploads/sites/3/2025/03/SNN_EN_Raport_CA_Anual_2024_all.pdf,Romania,Infrastructure,Electric Utilities & Power Generators,287,n.a.,3,,0,,,,,,,
SNCF,https://www.groupe-sncf.com/medias-publics/2025-03/full-year-financial-report-2024-sncf-group.pdf?VersionId=em7qXJkw0zqwqOzffEZLKpir87yxVsm0,France,Transportation,Rail Transportation,208,PwC & EY,3,,0,,,,,,,
Societe BIC,https://mediabic.bic.com/image/upload/v1743083441/BIC_2024_URD_EN_BAT_MEL_d814d9e7f4.pdf,France,Consumer Goods,Household & Personal Products,78,Grant Thornton,4,"BIC financed GHG removals and GHG mitigation projects to compensate for the sales of specific products associated with CO claims
in the Flame for Life and Blade Excellence Divisions.
Those carbon credits were purchased through the Verified Carbon Standard, and certified by the Verra Registry.",225,Not specified,Not specified,VCS,Not specified,Not specified,,
Société Générale,https://www.societegenerale.com/sites/default/files/documents/2025-03/universal-registration-document-2025.pdf,France,Financials,Commercial Banks,114,PwC & KPMG,3,,0,,,,,,,
Solar,https://attachment.news.eu.nasdaq.com/ac073c660b3bd956ce9df491a4fba278b,Denmark,Renewable Resources & Alternative Energy,Solar Technology & Project Developers,55,Deloitte,3,,0,,,,,,,
SOLVAY,https://www.solvay.com/sites/g/files/srpend616/files/2025-04/Solvay_AIR_2024_EN_BD.pdf,Belgium,Resource Transformation,Chemicals,83,EY,2,"However, in 2023 Solvay bought 2,000 VCUs (Verified Carbon Units) from a reforestation project of native species in Brazil, outside Solvay' value chain and managed
by the Office National des Forêts - Brazil (ONF Brazil) to market a carbon-neutral portfolio of products commercialized in Brazil and in the United States. The VCUs
were issued by Verra, a well-recognised organization in the development and management of high-integrity, high impact programs for climate and environmental
projects, highligting Solvay's commitment to apply verified and recognized quality standards for the biogenic removal projects. 37 VCUs were retired in 2023, and 351
VCUs were retired in 2024 to offset the remaining GHG emissions from the extraction of raw materials, the manufacturing of these products. The 1,612 remaining
VCUs are held in the Verra registry and are planned to be retired in the future in order to maintain the carbon-neutrality of this portfolio of products.",351,100,0,VCS,0,0,,
Sonae,https://www.sonae.pt/fotos/dados_fin/sonae_annual_report_2024_153160969667ef95e9352db.pdf,Portugal,Food & Beverage,Food Retailers & Distributors,187,PwC,3,,0,,,,,,,
Spar Nord Bank,https://attachment.news.eu.nasdaq.com/a264f5d299b19a040d919cc23445a0fcb,Denmark,Financials,Commercial Banks,60,Deloitte,3,,0,,,,,,,
SpareBank 1 SR-Bank,https://www.sparebank1.no/content/dam/SB1/bank/sr-bank/om-oss/Investor/Rapporter/2024/SpareBank1Soer-Norge_Annual_report_2024.pdf,Norway,Financials,Commercial Banks,129,PwC,3,,0,,,,,,,
Sphera Franchie Group,https://spheragroup.com/wp-content/uploads/2025/04/SFG_2024FY_EN_SML-1.pdf,Romania,Food & Beverage,Restaurants,159,EY,3,,0,,,,,,,
SPIE,https://www.spie.com/sites/www.spie.com/files/2025-04/SPI2024_URD_EN_MEL_250415_21h.pdf,France,Infrastructure,Engineering & Construction Services,84,PwC,3,,0,,,,,,,
SSAB,https://mb.cision.com/Main/980/4121762/3332561.pdf,Sweden,Extractives & Mineral Processing,Iron & Steel Producers,55,EY,3,,0,,,,,,,
Statkraft,https://www.statkraft.com/globalassets/0/.com/6-investor-relations/reports-and-presentations/2024/q4/statkraft-as---annual-report-2024.pdf,Norway,Infrastructure,Electric Utilities & Power Generators,121,PwC,3WIP,"Carbon credits planned to be cancelled cover 2023 and 2024 scope 1 and scope 2 emissions, excluding emissions covered by emissions cap and trade
systems. The carbon credits are planned to be cancelled in 2025 based on new policies for purchasing carbon credits.",0,,,,,,,
Stedin,https://www.stedingroep.nl/-/media/project/groep/files/stedin_group_annual_report_2024.pdf,Netherlands,Infrastructure,Electric Utilities & Power Generators,61,Deloitte,3,,0,,,,,,,
Stellantis,https://www.stellantis.com/content/dam/stellantis-corporate/investors/financial-reports/Stellantis-NV-20241231-Annual-Report.pdf,Netherlands,Transportation,Automobiles,106,Deloitte,3,,0,,,,,,,
STMicroelectronics,https://investors.st.com/static-files/ea3b0c4d-88be-404f-ac90-9236fe61d454,Netherlands,Technology & Communications,Semiconductors,141,EY,3,,0,,,,,,,
Storebrand,https://www.storebrand.no/en/investor-relations/annual-reports/_/attachment/inline/f7268ecb-0b2b-44e3-b264-bb93a0a06afa:afbfc17fd8ac42a515a6a48fb54eaec364e37ae0/2024-annual-report-storebrand-asa.pdf,Norway,Financials,Insurance,137,PwC,2,"Storebrand compensates for emissions from air travel
by purchasing carbon credits. We recognise that carbon
credits alone will not solve the climate crisis. Therefore,
our main strategy is to reduce our own emissions, before
we neutralise any remaining emissions through such
projects. Our purchase of carbon credits is not verified by
a third party, but we purchase this through the provider
Klimate, which conducts due diligence on the projects we
invest in. 57) This includes the collection and assessment
of over 300 data points covering climate impact, integrity,
scope and implementation, and co-benefits such as
biodiversity and local community benefits. All projects
meet high-quality standards. 58)
The carbon credits come exclusively from carbon
removal projects, either through biogenic projects such
as afforestation and soil improvement, or technological
solutions such as direct air capture and geological storage.
This approach is in line with the principles of the Oxford
Offsetting Principles and helps ensure that our climate
efforts are robust, traceable and future-proof.
In 2024, we supported projects equivalent to 1,334
tonnes of CO2 equivalents, broken down as follows:
• Biogenic carbon removals: 1,334 tonnes of CO2e
• Technological carbon removals: 0 tonnes CO2e
The tables below provide a detailed breakdown of carbon
credits cancelled in the reporting year and our plans for
future cancellations.
In addition, we have purchased carbon credits from Inherit
Carbon Solutions and Climeworks, with both deliveries
planned for the future. Through Inherit Carbon Solutions,
we have purchased carbon credits that help finance
carbon capture from biomethane plants. Here, organic
waste, such as sewage and food waste, is handled and
used to produce renewable energy. The waste from this
process contains a high concentration of CO2. Normally,
this is released into the atmosphere, but in this project, the
carbon is captured at the plant and permanently stored in
geological formations.","1,334",100,0,"Plan Vivo, CSI",7.95,0,,
STRABAG,https://www.strabag.com/site/strabag-company-locale/get/params_E495869683/1682291/STRABAG_Annual%20and%20Sustainability%20Report%202024_e.pdf,Austria,Infrastructure,Engineering & Construction Services,114,PwC,3,,0,,,,,,,
Subsea 7,https://www.subsea7.com/content/dam/subsea7-corporate2018/annual-report-2024/annual-report-2024.pdf,Luxembourg,Extractives & Mineral Processing,Oil & Gas – Services,57,EY,3,,0,,,,,,,
Surteco Group,https://ir-api.eqs.com/media/document/f2663dba-bb06-47c8-8b22-d7090a6c5ee5/assets/DE0005176903-JA-2024-EQ-E-00.pdf?disposition=inline,Germany,Extractives & Mineral Processing,Construction Materials,82,Baker Tilly,3,,0,,,,,,,
Svenska Handelsbanken,https://www.handelsbanken.com/tron/xgpu/info/contents/v1/document/72-263272,Sweden,Financials,Commercial Banks,120,Deloitte,2,"To achieve the goals of the Paris Agreement,
it is not enough to significantly reduce global
emissions. CO2 must also be captured from
the atmosphere and stored (Carbon Capture
and Storage, CCS). This is also referred to as
carbon removal credits, negative emissions or
sequestration projects. To support the development of CCS, Handelsbanken has invested
in carbon removal credits from Puro.earth according to the Puro standard. The certificates are called CORCs.
In 2024, the Bank purchased and cancelled
172 tonnes of CO2 from various biochar suppliers in Europe. Carbon removal credits have
not been offset against the Bank’s total emissions or carbon targets. Biochar is a biogenic
carbon sink that sequesters CO2 from the
atmosphere through a pyrolysis process,
where biomass is converted into biochar at
high temperatures without oxygen. According
to the Puro standard, this results in a very
long-lasting carbon bond with a duration of
over 100 years, minimising the risk of non-permanence. In general, biochar is considered a
nature-based solution, especially if it is made
from organic matter and used to improve soil
fertility and water-holding capacity. The Bank
did not make any other purchases of carbon
removal credits, meaning that 100 per cent
were purchased from EU offset projects and
from a recognised standard. The project does
not count as a corresponding adjustment
under Article 6 of the Paris Agreement.
To a lesser extent, Handelsbanken contributed indirectly to the financing of carbon
removal credits through a local energy agreement in Sweden whereby the supplier carbon
offsets for district heating it delivers. The carbon offset volume for 2024 was not available
when this Annual Report was finalised, but
based on the volume for 2023 this is estimated
to be less than 80 tonnes. Carbon offsetting
takes place on the basis of recognised standards.
Handelsbanken does not yet have a developed strategy for neutralising unavoidable
emissions. The Bank also does not have any
existing plans, holdings or agreements regarding carbon credits to be cancelled.",172,100,0,Puro.earth,100,0,,
Swedbank,https://mb.cision.com/Main/67/4109053/3277713.pdf,Sweden,Financials,Commercial Banks,154,PwC,3,,0,,,,,,,
Syensqo,https://www.syensqo.com/sites/g/files/alwlxe161/files/2025-03/Syensqo-2024-Annual-Integrated-Report.pdf,Belgium,Resource Transformation,Chemicals,129,EY,3,,0,,,,,,,
Talanx,https://www.talanx.com/media/Files/investor-relations/pdf/ergebnisse/2024/Q4/2024_talanx_konzern_en_pw.pdf ,Germany,Financials,Insurance,105,PwC,4,"One key environmental goal that Talanx's Primary Insurance Group has set itself is maintaining its commitment to GHG neutrality (including offsetting remaining emissions) in Germany.' In 2024, Scope 1, Scope 2 and the reported Scope 3.1.-3.14. GHG emissions by the German units in Talanx's Primary Insurance Group were again offset by purchasing and retiring carbon credits; the amount concerned was 19,335 tCO,e? 5.7% of the offsets were performed directly by an IT infrastructure supplier. [E1-7 56 bJ
The Talanx Group offsets the greenhouse gases it emits using greenhouse gas mitigation and avoidance credits outside the Group's own value chain. [E1-7 AR 57 a]
All the GHG credits purchased come from a nature-based project for reforesting and revegetating agricultural land in Paraguay, which is being run in cooperation with local cattle breeders. At more than 4,400 hectares, this is one of the first large privately funded reforestation projects in the South American country, and has been certified as complying with the global Verified Carbon Standard since 2022.
The greenhouse gas mitigation credits originate from biogenic sinks and meet the requirements set out in Article 6 of the 2015 Paris Agreement. The Talanx Group has been partnering with the project as a provider of both equity and debt finance since 2021. Once again, purchased credits were used for offsetting for the reporting year, and were retired. All of the greenhouse gas mitigation credits that were not purchased but rather provided by an IT supplier originate from a technical project located outside the EU that is run under the United Nations Framework Convention on Climate Change (UNFCCC) initia-tive, and therefore also comply with the Paris Agreement on climate change. The Hannover Re Group offsets its emissions independently using different projects. [E1-7 58 b, 61 C, AR 57 b, c, AR 62 b]
The project for reforesting and revegetating agricultural land in Paraguay has a low environmental risk, since it promotes sustainable agriculture and avoids deforestation. It works with landowners in whose areas of responsibility deforestation is uncommon or even illegal.
Consequently, leakage emissions are extremely small and are considered to be zero. Nevertheless, risk monitoring is ensured over the entire term of the project. [E1-7 AR 57 d]
Offsetting will remain a core element of efforts to ensure sustainable, responsible corporate management in coming years. The Talanx Group understands the need to reduce GHG emissions and aims to play its part in this. Offsetting GHG emissions plays a major role here.
The aim is to promote new trends and innovations in the decarboni-sation sector, but also to weigh these from a risk perspective in our business activities. [E1-7 AR 58 c, AR 63 b]
The Talanx Group's current targets for reducing Scope 1 and Scope 2 emissions in Germany do not include the use of GHG credits. Conse-quently, the availability and price of GHG credits do not influence the implementation of the targets. GHG credits will serve to offset the Group's remaining emissions, and hence ensure Group-wide GHG neutrality in own operations, from 2030 onwards. The Talanx Group's ambition of achieving net zero emissions by 2050 is also defined as including offsetting of remaining and unavoidable emissions.
[E1-7 60, 61 a, b, AR","19,335",Not specified,Not specified,VCS,Not specified,Not specified,,
Tatra banka,https://www.tatrabanka.sk/files/archiv/en/about/economic-results/annual-reports/Annualreport2024Non-officialPDFversion.pdf,Slovakia,Financials,Commercial Banks,249,Deloitte,3,,0,,,,,,,
TDC Net,https://tdcnet.com/media/bahljs5f/tdc-net-annual-report-2024.pdf,Denmark,Technology & Communications,Telecommunication Services,115,Deloitte,3,,0,,,,,,,
TeamViewer,https://ir-api.eqs.com/media/document/73eed5fc-e3c4-406b-94d3-8e0492299479/assets/DE000A2YN900-JA-2024-EQ-E-00.pdf?disposition=inline,Germany,Technology & Communications,Software & IT Services,53,PwC,3,,0,,,,,,,
Technip Energies,https://investors.technipenergies.com/static-files/4471cfe8-586a-463f-ac60-19e7c6c2ccbc,Netherlands,Infrastructure,Engineering & Construction Services,127,PwC,3,,0,,,,,,,
Tecnotree Corporation,https://mb.cision.com/Main/15858/4118736/3320368.pdf,Finland,Technology & Communications,Telecommunication Services,40,Tietotili Audit,3,,0,,,,,,,
Tele2,https://www.tele2.com/files/Main/3372/4130047/tele2-annual-and-sustainability-report-2024.pdf,Sweden,Technology & Communications,Telecommunication Services,92,KPMG,3,,0,,,,,,,
Telecom Italia,https://www.gruppotim.it/content/dam/gt/investitori/doc---report-finanziari/2024/Annual%20report%202024.pdf,Italy,Technology & Communications,Telecommunication Services,154,EY,1,"TIM provides transparency on GHG offsetting activities carried out outside its
value chain through the purchase of certified carbon credits. Specifically, in order to offset the more than 551
tCO2eq generated in 2024 from consulting the main commercial and institutional websites of the Domestic BU,
TIM purchased 552 carbon credits, through ""The Envira Amazonia Project,"" a forest conservation initiative in
Brazil, which aims to preserve existing forests by preventing deforestation as a result of logging actions and the
consequent release of greenhouse gases (GHGs), particularly carbon dioxide (CO2
). The calculation of avoided
emissions and carbon credits to be purchased follows the CO2web® calculation methodology owned by Rete
Clima, a nonprofit technical body specializing in promoting sustainability in organizations, and is verified by the
ICMQ Certification Body.
In Brazil, TIM S.A. provides transparency on GHG offsetting activities carried out outside its value chain through
the purchase of certified carbon credits. In 2024, 16,619 carbon credits were purchased for the neutralization of
direct GHG emissions. The decision to invest in a certified project was driven by the need to also ensure support
for local communities and stimulate positive social-environmental aspects.
[MDR-M, 77 a], [58 e, f], [60], [61 a, b, c]: The TIM Group has given public disclosure of its website neutralization
activity through the use of carbon credits. However, this activity falls outside the broader targets set by the
company (specifically ""Carbon Neutrality"" and ""Net Zero"") communicated in the Disclosure Requirement. ""E1-4
Targets related to climate change mitigation and adaptation.""
“The Envira Amazonia Project” is certified according to the following internationally recognized quality
standards:
■ Verified Carbon Standard (VCS) - Verra: the VCS standard ensures that the project generates real,
verifiable, and permanent CO2
 reductions. It is one of the most internationally recognized standards for
GHG emission reduction and absorption projects;
■ CCB Standards (Climate, Community & Biodiversity Alliance): the project is also certified to the CCB
standard, which attests to the environmental, social, and biodiversity benefits generated by the initiative.
The project ensures a measurable positive environmental impact through reduced emissions from avoided
deforestation in support of sustainable economic development projects and uses a biogenic sink, as it relies on
the conservation of natural forests that store CO2
 in plant biomass and soil. As the project is located in Brazil,
no purchased carbon credits were generated within the European Union.
There are no reported activities, related to the absorption and storage of GHG from its own operations and its
upstream and downstream value chain.","17,171",0,100,"VCS, CCB",0,0,,
Telecom Slovenije,https://www.telekom.si/media/iawdobez/annual_report_of_the_tsg_and_ts_2024.pdf,Slovenia,Technology & Communications,Telecommunication Services,88,Deloitte,3,,0,,,,,,,
Telefónica,https://www.telefonica.com/en/wp-content/uploads/sites/5/2025/02/Consolidated-Annual-Accounts-2024.pdf,Spain,Technology & Communications,Telecommunication Services,180,PwC,0,"Telefónica's net zero emissions target is based on the
definition included in the SBTi’s Corporate Net-Zero
Standard. It seeks to reduce carbon emissions in line with
the 1.5ºC scenario of the Paris Agreement and neutralise
unabated emissions through the sequestration of CO2 from
the atmosphere (with a maximum of 10%).
Following these premises, emissions that cannot be
reduced (a maximum of 10% by 2040) will be neutralised
through the cancellation of carbon credits. Before 2040,
activities outside Telefónica's value chain that help to
mitigate climate change (BVCM, or Beyond Value Chain
Mitigation) will be supported, in both projects that
generate GHG reduction credits and GHG emission
removal credits.
E1-7_12
To this end, high-quality credits procured on the
Voluntary Carbon Market are used. The projects that
generate those carbon credits must meet the following
quality criteria:
• Carbon sequestration projects should preferably be
nature-based, such as reforestation, afforestation or
ecosystem restoration (forests, wetlands, grasslands,
oceans), using native plant species.
• Projects should be able to demonstrate additionality
and long-term impact.
• Projects should provide environmental and social cobenefits, contribute as much as possible to the
achievement of the SDGs, and respect and consider
the rights of local communities and indigenous
peoples.
• Projects should be certified with recognised national/
international accreditation schemes and verified by an
independent accredited third party.
• Projects should preferably be located in countries in
which Telefónica is present, especially in those with
high levels of deforestation, such as Brazil, Peru and
Colombia. It thereby contributes to halting
deforestation in these regions, supporting the
conservation of existing forest carbon reserves and
providing incentives to support indigenous peoples
and local communities.
E1-7_10, E1-7_15
Since 2019, Telefónica has financed climate change
mitigation measures outside its value chain through the
purchase of carbon credits of nature-based projects. In
2024, 37,655 tCO2e of carbon credits were cancelled,
with 100% of the projects used being biogenic sinks.
E1-7_13, E1-7_14, E1-7_16, E1-7_17
In 2024, 68% of the cancelled carbon credits came from
emissions reduction projects (REDD+), while the
remaining projects were carbon removal projects (ARR)
involving biogenic sinks.
The following table shows the breakdown of the GHG
mitigation projects outside the value chain that were
financed through carbon credits. Telefónica Spain has the credits from the Telefónica
Forest, in Palencia, through which it helps to restore a
degraded agricultural area, transforming it into forest
use, and from another project that restores an area
affected by a forest fire in Caldas de Reis, Galicia, with
native species. Credits have also been cancelled from a
project preventing unplanned deforestation and
degradation of an indigenous reservation situated to the
east of the Colombian region of the Orinoco highlands,
in the transitional belt between the savannas of the
Orinoco and the Amazonian forests. Thanks to these
three projects, the operator offset 28% of its operational
emissions (Scopes 1 and 2) in 2024.
Meanwhile, Telefónica Brazil continued to offset 100% of
its Scopes 1 and 2 emissions through the purchase of
carbon credits. The projects support local initiatives for
both the conservation of ecosystems that prevent
deforestation in the regions of Rondônia and Amapá and
for the reforestation of the Amazon forest with native
species. They also foster the social and economic
development of local communities by generating
income and developing educational activities. Telefónica Germany cancelled credits from a
reforestation project in Colombia that promotes the
sustainable management of forest resources to foster
natural regeneration, for a quantity equivalent to 80% of
its operational emissions.
Lastly, Telefónica, S.A. mitigated 75% of the impact of
the Scopes 1 and 2 emissions from its corporate
premises by removing an equivalent amount of CO2
 from
the atmosphere. This was achieved through a
reforestation project based in Colombia and another
restoration program involving hillside woodland
containing chestnut, oak and pine trees in San Esteban
de Budiño, in Spain.
E1-7_11, E1-7_19
One of the targets set for 2025 is to offset the Group’s
Scopes 1 and 2 emissions in its main markets (Spain,
Germany and Brazil). In 2024, Telefónica offset 72% for
its main markets and 14% globally. Meeting this interim
target will mean cancelling 295,000 carbon credits
between 2025 and 2030, according to the Company’s
forecast operational emissions. In the medium term,
there are agreements that ensure the availability of
credits, thanks to a multi-country and multi-annual
purchase that was awarded in 2022.","37,655",32,68,VCS,1,0,,
Telekom Austria (A1 Telekom Austria),https://a1.group/wp-content/uploads/sites/6/2025/03/A1-Group_results-report-2024-1.pdf,Austria,Technology & Communications,Telecommunication Services,88,EY,3,"As part of A1 Group’s commitment to addressing climate change, our primary focus is on reducing greenhouse gas (GHG)
emissions directly within our operations (Scope 1 and Scope 2 GHG emissions) or in cooperation and collaboration with relevant
stakeholders in our value chain (Scope 3 GHG emissions). While we acknowledge the potential role of GHG removals and GHG
mitigation projects financed through carbon credits in achieving net-zero targets, these are not currently part of our strategy. We
consider these measures to be supplementary to our direct emission reduction efforts and view them as a last resort to achieve
Net-Zero once substantial emission reductions have been achieved.
A1 Group does not currently engage in GHG removals or finance GHG mitigation projects through carbon credits. Our strategy
emphasizes reducing our operational GHG emissions by focusing on energy efficiency, transitioning to renewable energy sources, and optimizing our network operations. We believe that direct emission reductions are the most effective and credible way to
contribute to climate change mitigation.
A1 Group recognizes that achieving Net-Zero GHG emissions may eventually require GHG removal solutions. Our approach to
GHG removals would be defined by the following principles:
• Principle 1 – Emission Reduction First: Our priority is to achieve a 90 % reduction in GHG emissions from our baseline before considering any form of GHG removal. This focus ensures that we are tackling the root causes of emissions within our
operations and supply chain.
• Principle 2 – Technological Maturity and Credibility: We will only consider GHG removal technologies when they have
matured to a point where they meet high standards of credibility, effectiveness, and verification. A1 Group is committed to
ensuring that any future GHG removal efforts are based on scientifically sound, transparent, and verifiable methods. This
approach will help us maintain integrity and trust in our climate action strategies.
• Principle 3 – Alignment with Net-Zero Goals: Any future and potential GHG removal initiatives will be aligned with our longterm Net-Zero targets. We will ensure that these initiatives contribute meaningfully to our overall climate strategy and are
not used as substitutes for direct emission reduction efforts.
A1 Group is committed to transparency and accountability in our climate-related activities. Although we are not currently engaged in GHG removals or carbon credit projects, we will continue to:
• Regularly review the landscape of GHG removal technologies and carbon credit projects to assess their potential role in our
future strategy.
• Monitor developments in standards and best practices for GHG removals and ensure alignment with international frameworks and guidelines.
• Report on our progress and position regarding GHG removals in our reports, providing stakeholders with clear and transparent information about our approach.",0,,,,,,,
Telenor,https://www.telenor.no/binaries/om/group/Annual-Report-2024-English.pdf,Norway,Technology & Communications,Telecommunication Services,84,EY,3,,0,,,,,,,
Teleperformance,https://www.tp.com/media/2balwxel/tp-2024-urd.pdf,France,Technology & Communications,Software & IT Services,112,PwC,3,,0,,,,,,,
Telia Company,https://www.teliacompany.com/assets/u5c1v3pt22v8/4LVJsLuOlr3SbbnB7DT3X/fdd30eea5fefca67f2a9104af30fd104/Telia_Annual_report_2024.pdf,Sweden,Technology & Communications,Telecommunication Services,100,KPMG,2,"Telia purchases carbon credits annually to balance
the remaining GHG emissions from scope 1, scope
2 market-based, and scope 3 category 6 (Business
travel). Telia expects to reduce the amount
of credits needed each year, due to emission
reduction activities. Telia has no long-term
contractual agreement on credit purchases or any
credits to be canceled in the future. The company
purchases carbon credits outside its value chain,
and in 2024 purchased and cancelled credits to
cover 16,543 tons CO₂e. (E1-7-56b)
Telia reports purchases of carbon credits
separately, outside GHG emission reporting.
Carbon credits are not reported as carbon
reduction activity or towards its net-zero target.
(E1-AR61)
Telia has three projects in the 2024 voluntary
carbon credit portfolio:
1. Improved Forest Management, Boumba-etNgoko Forest Conservation, Cameroon, Verra
certification VCS2897
2. Afforestation/reforestation, Delta Blue Carbon,
Pakistan, Verra certification VCS2250
3. Biochar, Four Bordet, France Puro certification
PURO619736.
Telia receives the cancellation documents for each
carbon credit purchased and is not undertaking
any calculations or assessment of the credits
issued. All projects are externally validated by
the credit provider. Projects 1-2 are certified with
Verified Carbon Standard (VCS) by Verra, while
project 3 is certified with Puro Standard General
Rules aligned with ICROA. (E1-7-58b). All Telia’s
carbon credits are from biogenic sink. (E1-AR62b)
100% of the credits relate to GHG emission
removal from the atmosphere and 0% are linked
with reduction activities. 100% of the credits are
certified by recognized quality standards Verra
and Puro. 0% of the credits are issued from
projects in the European Union. 0% of the credits
qualify as a corresponding adjustment under
Article 6 of the Paris Agreement. (E1-AR62a)
(E1-AR62c) (E1-AR62d) (E1-AR62e)
GHG neutrality
Telia has targeted net-zero GHG emissions
across its value chain by 2040. The company will
neutralize remaining GHG emissions after reaching
a 90% reduction. Telia has yet to make any plans
for this neutralization. (E1-7-60)
Telia does not claim GHG neutrality in its value
chain. (E1-7-61)","16,543",100,0,"VCS, Puro.earth",0,0,,
Tenaris,https://ir.tenaris.com/static-files/aeff70a1-b470-4981-8c5a-6a601946ebbd,Luxembourg,Extractives & Mineral Processing,Iron & Steel Producers,114,PwC,3,,0,,,,,,,
